Title,Date,Dataset
Pose: Season 1: Access,6/16/2020,parent
Alt-Right: Age of Rage,6/16/2020,parent
Pose: Season 1: Pilot,6/15/2020,parent
Alexa & Katie: Part 1: Bad Hair Day,6/15/2020,parent
Living Undocumented: Season 1: A Prayer in the Night,6/14/2020,parent
Queer Eye: Season 5: Body Rock or Bust,6/14/2020,parent
Queer Eye: Season 5: Father Knows Fish,6/14/2020,parent
Lenox Hill: Season 1: Growth Hurts,6/12/2020,parent
Madam Secretary: Season 1: Standoff,6/11/2020,parent
Madam Secretary: Season 1: Game On,6/11/2020,parent
They've Gotta Have Us: Season 1: Legends and Pioneers,6/11/2020,parent
Flint Town: Season 1: Welcome to Flint Town,6/11/2020,parent
Knock Down The House,6/10/2020,parent
LA 92,6/10/2020,parent
Queer Eye: Season 5: DJ's on Repeat,6/9/2020,parent
Time: The Kalief Browder Story: Season 1: Part 1 - The System,6/9/2020,parent
Queer Eye: Season 5: The Anxious Activist,6/8/2020,parent
Queer Eye: Season 5: The North Philadelphia Story,6/8/2020,parent
Let It Fall: Los Angeles 1982-1992,6/6/2020,parent
Queer Eye: Season 5: Silver Lining Sweeney,6/6/2020,parent
Queer Eye: Season 5: Father of the Bride,6/6/2020,parent
Queer Eye: Season 5: Groomer Has It,6/5/2020,parent
Queer Eye: Season 5: Preaching Out Loud,6/5/2020,parent
Queer Eye: Season 5: Paging Dr. Yi,6/5/2020,parent
Jeffrey Epstein: Filthy Rich: Limited Series: Finding Their Voice,6/4/2020,parent
Jeffrey Epstein: Filthy Rich: Limited Series: The Island,6/4/2020,parent
Space Force: Season 1: THE LAUNCH,6/4/2020,parent
When They See Us: Limited Series: Part One,6/2/2020,parent
Murder to Mercy: The Cyntoia Brown Story,6/2/2020,parent
Jeffrey Epstein: Filthy Rich: Limited Series: Follow the Money,6/1/2020,parent
Jeffrey Epstein: Filthy Rich: Limited Series: Hunting Grounds,6/1/2020,parent
13TH,5/31/2020,parent
Becoming,5/31/2020,parent
Selling Sunset: Season 2: Karma’s Gonna Get You,5/27/2020,parent
Selling Sunset: Season 2: That’s Why They Call It Real Estress,5/27/2020,parent
Selling Sunset: Season 2: The Wait Will Be Worth the Wait,5/27/2020,parent
Selling Sunset: Season 2: I’m No Soldier,5/27/2020,parent
Selling Sunset: Season 2: The Red Engagement Party,5/27/2020,parent
"Selling Sunset: Season 2: Sorry, Not Sorry",5/27/2020,parent
Selling Sunset: Season 2: Billionaires Have Compounds,5/27/2020,parent
Selling Sunset: Season 2: Let the Real Estate Games Begin,5/23/2020,parent
Madam Secretary: Season 1: Collateral Damage,5/22/2020,parent
Madam Secretary: Season 1: So It Goes,5/22/2020,parent
Madam Secretary: Season 1: Need to Know,5/21/2020,parent
Madam Secretary: Season 1: Passage,5/20/2020,parent
Madam Secretary: Season 1: The Call,5/20/2020,parent
Madam Secretary: Season 1: Blame Canada,5/20/2020,parent
Madam Secretary: Season 1: Just Another Normal Day,5/19/2020,parent
Madam Secretary: Season 1: The Operative,5/19/2020,parent
Madam Secretary: Season 1: Another Benghazi,5/19/2020,parent
Madam Secretary: Season 1: Pilot,5/18/2020,parent
Trial By Media: Season 1: Subway Vigilante,5/17/2020,parent
Unbreakable Kimmy Schmidt: Season 3: Kimmy Goes to College!,5/17/2020,parent
Trial By Media: Season 1: 41 Shots,5/17/2020,parent
Cheer: Season 1: Daytona,5/15/2020,parent
Cheer: Season 1: Full Out,5/14/2020,parent
Cheer: Season 1: Hit Zero,5/14/2020,parent
"Cheer: Season 1: Blood, Sweat and Cheers",5/14/2020,parent
Cheer: Season 1: Making Mat,5/14/2020,parent
Cheer: Season 1: God Blessed Texas,5/14/2020,parent
Medici: Masters of Florence: Original Sin,5/14/2020,parent
Outer Banks: Season 1: The Phantom,5/13/2020,parent
Mr. Sunshine: Season 1: Episode 5,5/13/2020,parent
Outer Banks: Season 1: The Bell Tower,5/13/2020,parent
Outer Banks: Season 1: The Runway,5/13/2020,parent
Outer Banks: Season 1: Dead Calm,5/13/2020,parent
Mr. Sunshine: Season 1: Episode 4,5/12/2020,parent
Outer Banks: Season 1: Parcel 9,5/12/2020,parent
Mr. Sunshine: Season 1: Episode 3,5/11/2020,parent
Mr. Sunshine: Season 1: Episode 2,5/9/2020,parent
Outer Banks: Season 1: Midsummers,5/9/2020,parent
Outer Banks: Season 1: Spy Games,5/9/2020,parent
Outer Banks: Season 1: The Forbidden Zone,5/9/2020,parent
Outer Banks: Season 1: The Lucky Compass,5/8/2020,parent
Outer Banks: Season 1: Pilot,5/8/2020,parent
Mr. Sunshine: Season 1: Episode 1,5/7/2020,parent
Icarus,5/3/2020,parent
American Factory,5/3/2020,parent
Waco: Limited Series: Day 51,5/1/2020,parent
Waco: Limited Series: Stalling for Time,5/1/2020,parent
Waco: Limited Series: Of Milk and Men,5/13/2020,parent
Waco: Limited Series: Operation Showtime,5/13/2020,parent
Waco: Limited Series: The Strangers Across the Street,5/13/2020,parent
Never Have I Ever: Season 1: ... had sex with Paxton Hall-Yoshida,5/13/2020,parent
Never Have I Ever: Season 1: Pilot,5/13/2020,parent
Waco: Limited Series: Visions and Omens,5/13/2020,parent
Explained: Season 1: The Female Orgasm,5/13/2020,parent
The Innocence Files: Limited Series: The Evidence: Indeed and Without Doubt,5/13/2020,parent
Dirty Money: Season 2: Slumlord Millionaire,5/13/2020,parent
Dirty Money: Season 2: The Man at the Top,5/13/2020,parent
Dirty Money: Season 2: The Wagon Wheel,5/13/2020,parent
Crash Landing on You: Season 1: Episode 1,4/9/2020,parent
The Walking Dead: Season 9: A New Beginning,4/9/2020,parent
Community: Season 1: Community,4/8/2020,parent
Unorthodox: Limited Series: Part 1,4/8/2020,parent
Ozark: Season 1: Sugarwood,4/8/2020,parent
Coffee & Kareem,4/8/2020,parent
Money Heist: Part 1: Episode 1,4/8/2020,parent
The Walking Dead: Season 1: Days Gone Bye,4/8/2020,parent
Kingdom: Season 2: Episode 6,4/7/2020,parent
Kingdom: Season 2: Episode 5,4/7/2020,parent
Kingdom: Season 2: Episode 4,4/7/2020,parent
Kingdom: Season 2: Episode 3,4/6/2020,parent
Kingdom: Season 2: Episode 2,4/6/2020,parent
Kingdom: Season 2: Episode 1,4/6/2020,parent
Crash Landing on You: Season 1: Episode 14,5/25/2020,zoe
Crash Landing on You: Season 1: Episode 13,5/25/2020,zoe
Crash Landing on You: Season 1: Episode 12,5/25/2020,zoe
Crash Landing on You: Season 1: Episode 11,5/25/2020,zoe
Crash Landing on You: Season 1: Episode 10,5/25/2020,zoe
Crash Landing on You: Season 1: Episode 9,5/25/2020,zoe
Crash Landing on You: Season 1: Episode 8,5/23/2020,zoe
Crash Landing on You: Season 1: Episode 7,5/23/2020,zoe
Crash Landing on You: Season 1: Episode 6,5/23/2020,zoe
Crash Landing on You: Season 1: Episode 5,5/23/2020,zoe
The Good Place: Season 2: Everything Is Great!,4/15/2020,zoe
The Good Place: Season 1: Michael's Gambit,4/15/2020,zoe
The Good Place: Season 1: Mindy St. Claire,4/15/2020,zoe
The Good Place: Season 1: What's My Motivation,4/15/2020,zoe
The Good Place: Season 1: Chidi's Choice,4/15/2020,zoe
The Good Place: Season 1: ...Someone Like Me as a Member,4/15/2020,zoe
Kingdom: Season 1: Episode 1,4/4/2020,zoe
Dirty Money: Season 1: Drug Short,3/30/2020,zoe
On My Block: Season 3: Chapter Twenty-Three,3/30/2020,zoe
Dirty Money: Season 1: Payday,3/30/2020,zoe
Dirty Money: Season 1: Hard NOx,3/30/2020,zoe
Dirty Money: Season 2: Slumlord Millionaire,3/28/2020,zoe
On My Block: Season 3: Chapter Twenty-Two,3/28/2020,zoe
On My Block: Season 3: Chapter Twenty-One,3/27/2020,zoe
On My Block: Season 2: Chapter Twenty,3/27/2020,zoe
On My Block: Season 2: Chapter Nineteen,3/27/2020,zoe
On My Block: Season 2: Chapter Eighteen,3/27/2020,zoe
On My Block: Season 2: Chapter Seventeen,3/27/2020,zoe
On My Block: Season 2: Chapter Sixteen,3/26/2020,zoe
On My Block: Season 2: Chapter Fifteen,3/25/2020,zoe
On My Block: Season 2: Chapter Fourteen,3/25/2020,zoe
Crash Landing on You: Season 1: Episode 4,3/23/2020,zoe
Crash Landing on You: Season 1: Episode 2,3/23/2020,zoe
On My Block: Season 2: Chapter Thirteen,3/21/2020,zoe
On My Block: Season 2: Chapter Twelve,3/21/2020,zoe
Schitt's Creek: Season 1: The Drip,3/20/2020,zoe
Schitt's Creek: Season 1: Our Cup Runneth Over,3/20/2020,zoe
The Trials of Gabriel Fernandez: Limited Series: A Shock to the System,3/20/2020,zoe
Next in Fashion: Season 1: Red Carpet,3/20/2020,zoe
Crash Landing on You: Season 1: Episode 1,3/19/2020,zoe
Ugly Delicious: Season 2: Don’t Call It Curry,3/18/2020,zoe
Ugly Delicious: Season 2: Kids Menu,3/18/2020,zoe
Ugly Delicious: Season 2: Steak,3/18/2020,zoe
Crash Landing on You: Season 1: Episode 3,3/16/2020,zoe
Gilmore Girls: Season 1: Kill Me Now,3/16/2020,zoe
Gilmore Girls: Season 1: The Lorelais' First Day at Chilton,3/16/2020,zoe
The Great British Baking Show: Collection 4: Cake,3/16/2020,zoe
Crash Landing on You: Season 1: Episode 16,3/14/2020,zoe
Crash Landing on You: Season 1: Episode 15,3/14/2020,zoe
The Good Place: Season 1: Tahani Al-Jamil,3/13/2020,zoe
The Good Place: Season 1: Flying,3/13/2020,zoe
The Good Place: Season 1: Everything Is Fine,3/13/2020,zoe
Love Is Blind: Season 1: Will You Marry Me?,3/5/2020,zoe
Love Is Blind: Season 1: Is Love Blind?,3/4/2020,zoe
"I Am Not Okay With This: Season 1: Deepest, Darkest Secret",3/4/2020,zoe
"I Am Not Okay With This: Season 1: Like Father, Like Daughter",3/4/2020,zoe
I Am Not Okay With This: Season 1: Another Day in Paradise,3/4/2020,zoe
I Am Not Okay With This: Season 1: Stan by Me,3/4/2020,zoe
I Am Not Okay With This: Season 1: The Party's Over,3/3/2020,zoe
I Am Not Okay With This: Season 1: The Master of One F**k,3/2/2020,zoe
I Am Not Okay With This: Season 1: Dear Diary...,3/2/2020,zoe
The Pharmacist: Limited Series: Tunnel of Hope,3/2/2020,zoe
The Pharmacist: Limited Series: Dope Dealers with White Lab Coats,3/2/2020,zoe
The Pharmacist: Limited Series: A Mission from God,3/2/2020,zoe
The Pharmacist: Limited Series: Justice for Danny,3/2/2020,zoe
The Trials of Gabriel Fernandez: Limited Series: Gabriel's Voice,2/28/2020,zoe
The Trials of Gabriel Fernandez: Limited Series: Improper Regard or Indifference,2/28/2020,zoe
The Trials of Gabriel Fernandez: Limited Series: Death Has Got Him by the Hand,2/28/2020,zoe
The Trials of Gabriel Fernandez: Limited Series: Failure at All Levels,2/28/2020,zoe
The Trials of Gabriel Fernandez: Limited Series: Evil in This Courtroom,2/28/2020,zoe
